animal_de,start_utc,end_utc,year_for_pillar,stem,branch,element,yin_yang,note
Pferd,2026-02-03T20:02:08.100585+00:00,2027-02-04T01:46:18.002929+00:00,2026,Bing,Wu,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,2027-02-04T01:46:18.002929+00:00,2028-02-04T07:31:14.047851+00:00,2027,Ding,Wei,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,2028-02-04T07:31:14.047851+00:00,2029-02-03T13:20:46.069335+00:00,2028,Wu,Shen,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,2029-02-03T13:20:46.069335+00:00,2030-02-03T19:08:28.227538+00:00,2029,Ji,You,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,2030-02-03T19:08:28.227538+00:00,2031-02-04T00:58:18.266601+00:00,2030,Geng,Xu,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,2031-02-04T00:58:18.266601+00:00,2032-02-04T06:48:57.084960+00:00,2031,Xin,Hai,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,2032-02-04T06:48:57.084960+00:00,2033-02-03T12:41:35.214843+00:00,2032,Ren,Zi,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,2033-02-03T12:41:35.214843+00:00,2034-02-03T18:41:08.627929+00:00,2033,Gui,Chou,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,2034-02-03T18:41:08.627929+00:00,2035-02-04T00:31:33.383788+00:00,2034,Jia,Yin,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,2035-02-04T00:31:33.383788+00:00,2036-02-04T06:19:54.653320+00:00,2035,Yi,Mao,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,2036-02-04T06:19:54.653320+00:00,2037-02-03T12:11:37.192382+00:00,2036,Bing,Chen,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,2037-02-03T12:11:37.192382+00:00,2038-02-03T18:03:46.977538+00:00,2037,Ding,Si,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,2038-02-03T18:03:46.977538+00:00,2039-02-03T23:52:54.389648+00:00,2038,Wu,Wu,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,2039-02-03T23:52:54.389648+00:00,2040-02-04T05:39:52.602538+00:00,2039,Ji,Wei,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,2040-02-04T05:39:52.602538+00:00,2041-02-03T11:25:08.862304+00:00,2040,Geng,Shen,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,2041-02-03T11:25:08.862304+00:00,2042-02-03T17:12:50.581054+00:00,2041,Xin,You,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,2042-02-03T17:12:50.581054+00:00,2043-02-03T22:58:45.952148+00:00,2042,Ren,Xu,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,2043-02-03T22:58:45.952148+00:00,2044-02-04T04:44:17.153320+00:00,2043,Gui,Hai,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,2044-02-04T04:44:17.153320+00:00,2045-02-03T10:36:18.588866+00:00,2044,Jia,Zi,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,2045-02-03T10:36:18.588866+00:00,2046-02-03T16:31:07.016601+00:00,2045,Yi,Chou,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,2046-02-03T16:31:07.016601+00:00,2047-02-03T22:18:03.032226+00:00,2046,Bing,Yin,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,2047-02-03T22:18:03.032226+00:00,2048-02-04T04:04:39.272460+00:00,2047,Ding,Mao,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,2048-02-04T04:04:39.272460+00:00,2049-02-03T09:53:25.151366+00:00,2048,Wu,Chen,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,2049-02-03T09:53:25.151366+00:00,2050-02-03T15:43:49.467773+00:00,2049,Ji,Si,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,2050-02-03T15:43:49.467773+00:00,2051-02-03T21:36:11.118163+00:00,2050,Geng,Wu,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
